timestamp,method,threads,num_steps,repeats,time_sec,speedup,pi,abs_error
2026-03-25 13:52:22,1,16,100000000,3,0.012665600,7.739262,3.141592653590,1.732e-14
2026-03-25 13:52:22,2,16,100000000,3,0.012591900,7.784560,3.141592653590,8.926e-14
2026-03-25 13:52:22,3,16,100000000,3,0.012785600,7.666625,3.141592653590,1.732e-14
2026-03-25 13:52:22,4,16,100000000,3,0.012543000,7.814909,3.141592653590,8.926e-14
2026-03-25 13:52:26,serial,1,100000000,3,0.097922700,1.000000,3.141592653590,6.333e-13
2026-03-25 13:52:26,1,16,100000000,3,0.012735400,7.689016,3.141592653590,1.732e-14
2026-03-25 13:52:26,2,16,100000000,3,0.012639100,7.747601,3.141592653590,8.926e-14
2026-03-25 13:52:26,3,16,100000000,3,0.012677500,7.724133,3.141592653590,1.821e-14
2026-03-25 13:52:26,4,16,100000000,3,0.012548100,7.803787,3.141592653590,8.882e-14
2026-03-25 13:52:28,serial,1,100000000,3,0.098851500,1.000000,3.141592653590,6.333e-13
2026-03-25 13:52:28,1,16,100000000,3,0.012622700,7.831248,3.141592653590,1.732e-14
2026-03-25 13:52:28,2,16,100000000,3,0.012701400,7.782725,3.141592653590,8.926e-14
2026-03-25 13:52:28,3,16,100000000,3,0.012551500,7.875672,3.141592653590,1.821e-14
2026-03-25 13:52:28,4,16,100000000,3,0.012867400,7.682321,3.141592653590,8.926e-14
2026-03-25 13:52:30,serial,1,100000000,3,0.100568600,1.000000,3.141592653590,6.333e-13
2026-03-25 13:52:30,1,16,100000000,3,0.014237500,7.063642,3.141592653590,1.732e-14
2026-03-25 13:52:30,2,16,100000000,3,0.013505000,7.446768,3.141592653590,8.926e-14
2026-03-25 13:52:30,3,16,100000000,3,0.012945300,7.768735,3.141592653590,1.821e-14
2026-03-25 13:52:30,4,16,100000000,3,0.012793500,7.860914,3.141592653590,8.926e-14
